Confirmed,Deaths,Recovered,Active,FIPS,People_Hospitalized,Case_Fatality_Ratio,UID,Date,Last_Update,People_Tested,Hospitalization_rate,Mortality_Rate,Testing_Rate,Incident_Rate,Total_Test_Results
22448,289,11958,10201,15,NA,1.2874198146828226,84000015,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,58112.95088821589,1585.4540523437147,822805
142199,1448,58649,82102,16,NA,1.018291267871082,84000016,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,30524.071592247623,7957.125230475668,545485
975352,18217,NA,NA,17,NA,1.8677359558395328,84000017,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,106035.68342703072,7697.015290856776,13436652
523090,9562,347401,166127,18,NA,1.8279837121719016,84000018,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,8.569645461622683e-6,7769.949254473154,5769273
283895,3946,243214,36735,19,NA,1.3899505098716074,84000019,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,37270.80540209884,8998.057095405173,1175920
230119,2893,4612,222614,20,NA,1.2571756352148236,84000020,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,34754.441162195355,7898.873928453988,1012506
273970,2698,37273,233999,21,NA,0.9847793554038764,84000021,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,71867.48000581062,6132.275123985126,3210804
315275,7488,263712,44075,22,NA,2.375069383871224,84000022,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,90651.08068888405,6781.866436757577,4214182
25245,358,11438,13449,23,NA,1.4181025945731829,84000023,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,82759.04396032769,1878.051973944586,1112457
283171,5967,9374,267830,24,NA,2.107207305832872,84000024,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,9.606307313652062e-6,4683.856902780167,5807666
384181,10589,261672,110007,25,NA,3.254195288158446,84000025,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,1.6557791850072462e-5,5573.896739689486,11412463
538121,13306,363611,161204,26,NA,2.4726780779787445,84000026,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,8.213548066223438e-6,5388.291831954738,8202753
417832,5436,398199,14197,27,NA,1.3010013593980356,84000027,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,95537.01376260012,7408.852208796602,5387936
220277,4840,167263,48174,28,NA,2.197233483296032,84000028,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,45291.24717882068,7401.410346054583,1347935
448387,5751,NA,NA,29,NA,1.2825973991217408,84000029,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,59954.51188999693,7305.780206301401,3679665
81944,971,75974,4999,30,NA,1.1849555794200917,84000030,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,74176.20871687104,7667.073985430089,792779
168262,1669,109705,56888,31,NA,0.9919054807383724,84000031,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,91299.456991493,8698.371801605452,1766104
228871,3148,NA,NA,32,NA,1.3754473043767013,84000032,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,68553.6381923513,7430.500273362778,2111559
46614,769,37947,7898,33,NA,1.649718968550221,84000033,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,76532.88088424673,3428.228498555943,1040626
541202,19187,56575,465440,34,NA,3.5452566694136385,84000034,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,87796.19665870692,6093.114423357302,7798225
145379,2534,67573,75272,35,NA,1.7430302863549756,84000035,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,95159.35729618392,6933.27877475941,1995329
1011665,38093,103828,869744,36,NA,3.7653768787098496,84000036,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,132144.2331303765,5200.410351606063,25706759
558437,6892,403488,148057,37,NA,1.2341589113901836,84000037,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,6.750314928827801e-6,5324.490154731789,7079787
92382,1317,89582,1992,38,NA,1.4177907439902682,84000038,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,169287.66950720546,12189.428156764148,1290077
122,2,29,91,69,NA,1.639344262295082,580,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,31827.57870303206,221.23893805309731,17551
714673,13919,573641,127113,39,NA,1.9476040091062623,84000039,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,7.522993215901995e-6,6114.012199399441,8793702
296343,2527,259841,33975,40,NA,0.8527280887350132,84000040,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,67990.71815284975,7489.137524636901,2690373
116348,1492,5870,108986,41,NA,1.282359817100423,84000041,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,62893.20552703974,2758.540895271564,2652670
664966,16273,453531,195162,42,NA,2.4471927888042395,84000042,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,30829.584371616005,5194.239738840582,7675010
77932,1526,68340,8066,72,NA,1.9581173330595905,630,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,43423.85338106907,2440.1836869781514,1386825
87949,1957,5381,80611,44,NA,2.225153213794358,84000044,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,186385.75518638128,8302.080216281325,1974498
312718,5385,152535,154798,45,NA,1.7219987336833824,84000045,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,62234.08408390911,6073.710833423647,3204255
99829,1501,92595,5733,46,NA,1.5035711065922728,84000046,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,6.78190127495453e-6,11284.461018313272,599967
599358,6970,523089,69462,47,NA,1.1625948048525403,84000047,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,83742.1919546932,8778.821567586358,5718900
1824556,28456,1443061,353053,48,NA,1.5588450011948112,84000048,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,48302.16057239303,6292.466160969553,14005637
281654,1294,230287,50073,49,NA,0.4594289447336093,84000049,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,70749.11773641451,8785.330313123253,2268187
7689,139,5188,2362,50,NA,1.807777344258031,84000050,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,113502.96239196524,1232.2332605222207,708246
2041,23,1901,117,78,NA,1.1268985791278785,850,2021-01-02,2021-01-03T05:30:33Z,NA,NA,NA,33758.4368124697,1902.7109669239665,36212
