"date","location","administered","admin_per_100k","series_complete_pop_pct","additional_doses_vax_pct","second_booster","administered_bivalent"
2022-10-12,"MT","1734425","162281","58.3","50.5",NA,NA
2022-10-12,"NV","5253947","170574","62.5","41.4",NA,NA
2022-10-12,"OK","6362944","160803","59.3","40.1",NA,NA
2022-10-12,"HI","3279502","231624","80.4","58",NA,NA
2022-10-12,"NE","3489100","180370","65.2","53.7",NA,NA
2022-10-12,"NH","2649747","194876","69.6","50.3",NA,NA
2022-10-12,"AZ","13368337","183663","63.7","45.8",NA,NA
2022-10-12,"ME","3196330","237785","81.9","59",NA,NA
2022-10-12,"MP","113744","219367","84.3","52.1",NA,NA
2022-10-12,"GU","379153","225031","84.6","52",NA,NA
2022-10-12,"VI","151097","142155","54.6","31.6",NA,NA
2022-10-12,"WY","801483","138483","52.2","45.7",NA,NA
2022-10-12,"ND","1201318","157640","57.3","46.3",NA,NA
2022-10-12,"SD","1549967","175205","64.4","44.7",NA,NA
2022-10-12,"AS","114422","241437","89.5","57.9",NA,NA
2022-10-12,"OR","8581519","203463","71.2","56.8",NA,NA
2022-10-12,"NM","4341593","207055","73.5","52.9",NA,NA
2022-10-12,"TN","10743836","157323","55.7","46.8",NA,NA
2022-10-12,"MD","13516541","223574","78.2","55",NA,NA
2022-10-12,"MN","11572629","205202","70.9","61",NA,NA
2022-10-12,"LA","6646180","142966","54.6","42",NA,NA
2022-10-12,"CA","81763386","206932","74.1","55.7",NA,NA
2022-10-12,"PA","25270026","197391","71.3","45.4",NA,NA
2022-10-12,"MO","9747733","158824","57.9","45.4",NA,NA
2022-10-12,"MI","17354411","173772","61.5","57",NA,NA
2022-10-12,"RI","2447927","231076","85.9","56.6",NA,NA
2022-10-12,"VA","18066018","211657","75.3","51.6",NA,NA
2022-10-12,"GA","16055560","151219","56.4","41.7",NA,NA
2022-10-12,"NC","18256621","174070","64.8","29.9",NA,NA
2022-10-12,"CT","8273306","232052","81.5","54",NA,NA
2022-10-12,"IL","24834742","195984","70.3","55.3",NA,NA
2022-10-12,"VA2","7956345","0","0","41.3",NA,NA
2022-10-12,"CO","11918400","206962","72.3","55.8",NA,NA
2022-10-12,"DC","1774892","251491","81.7","45.8",NA,NA
2022-10-12,"KS","4972779","170691","64","47.1",NA,NA
2022-10-12,"AL","6649782","135622","52.4","38.3",NA,NA
2022-10-12,"TX","48887075","168600","62.4","37.6",NA,NA
2022-10-05,"CT","8267573","231891","81.4","54",NA,NA
2022-10-05,"HI","3252277","229701","80.3","57.8",NA,NA
